Anchor	Reco
600108049	915469804
604342441	120640825
604342441	722562925
604342441	1424816694
604342441	1424816694
604342441	722562925
604342441	1207425703
604342441	604599575
604342441	1580955973
604342441	1207425703
604342441	629311178
604342441	932544113
604342441	120640825
604342441	980616641
604342441	1207425703
604342441	586288444
604342441	980616641
604342441	722562925
604342441	1424816694
604342441	866513703
604342441	629311178
604342441	643659699
604342441	588131663
604342441	596765124
604342441	722562925
604342441	178235732
604342441	2981612489
616074177	2311706193
631193073	722562925
631193073	722562925
634481974	1927878755
634481974	3936360312
634481974	3936360312
639657111	47409684
641276075	2974292755
654950389	910956505
654950389	2033575391
654950389	896747976
654950389	520393459
654950389	1864346371
654950389	2033575391
654950389	2196742306
654950389	804050128
655453276	1845392115
655578303	811665748
657214530	2232197281
657214530	3485832073
657214530	2108904338
657214530	1265492330
657214530	1230988316
657214530	1829985909
657270584	686210356
657270584	845977366
657270584	161470986
657926780	277626180
657926780	277626180
666867392	802207568
673582915	686981148
673582915	1091353554
677427902	725811641
680714703	686981148
682465256	689437485
683067523	5040208471
697800544	5025085393
697800544	439478162
699402674	979700233
701201472	344373956
701201472	3700875154
701201472	3700875154
701201472	768915953
715822691	557484527
715822691	1339239727
715822691	2258320194
715822691	380101241
717448952	733496287
722349156	2174685667
722349156	3395533780
722349156	860264316
722554826	535406111
724709078	1121735595
724709078	792009439
730677161	1339239727
730677161	557484527
730677161	790843752
736152154	277626180
738972085	2599762371
751628001	484076068
761308797	277626180
764318216	2767543584
764318216	689255629
764318216	689255629
764318216	2767543584
764318216	689255629
764318216	183225391
774234210	1517397225
779045289	255366538
779045289	939445633
779045289	1356814292
779045289	586730215
779045289	1992819488
782669217	1054557689
782669217	5102291677
783064362	523103568
783064362	2821980143
788898993	484605507
789645906	1163489338
790267220	5146781951
790267220	523103568
791680399	1983379918
797596359	2819578460
799952786	283168411
808355930	236642055
808355930	492096139
817293821	571997982
817293821	1185275576
817293821	210740106
817684947	741224561
817684947	128104081
817684947	741224561
817684947	433245581
821624279	2338722164
824688899	37693379
828081087	1024561379
828081087	1339239727
828081087	445525628
828081087	445525628
828081087	432162297
828081087	432162297
833461824	661416515
833461824	661416515
833461824	236849774
836461383	333313883
837141207	715088442
849846736	1591053880
850535193	878310394
850535193	746273799
850535193	878310394
855978264	403830906
855978264	2835618394
855978264	403830906
861607954	873563044
877072159	577955099
877072159	733496287
877949428	277626180
885592708	47409684
894936288	577955099
894936288	733496287
896633787	574162975
897045938	568914257
900745264	780196342
903952057	406088984
904927312	506555401
904927312	158508698
905048588	1642772343
916180920	546500207
917596395	3174518055
922518722	43085817
922518722	1801358389
922518722	2714635826
922518722	1801358389
928339164	808422519
928339164	470767198
930925660	3825062598
939547309	689185749
939547309	1103117805
939547309	352239578
939547309	306524480
939547309	2639795312
960860545	2646294442
965893832	277626180
969122879	308855127
969122879	397921428
969122879	2573512199
969531645	47409684
970197920	2968861960
977516871	1332019210
977552523	1049135753
984914014	2326268222
984914014	5146781951
985519962	977713297
985519962	963572189
985519962	1424816694
985519962	866513703
989375778	2140121579
990891645	337987916
990891645	337987916
993257510	2744244304
994852015	3059896322
995415578	1478050499
995415578	1845392115
995415578	1286724525
995415578	1286724525
995415578	1119400199
995415578	1411362032
995415578	447693081
995415578	1286724525
999714278	2938940284
999732035	1190138961
999732035	2537462077
1078528629	207827114
1078528629	624445123
1078528629	44856982
1078528629	2513003819
1078528629	2211906617
1078528629	3671820500
1078528629	382125821
1078528629	2194395850
1078528629	3074608066
1078528629	2340021631
1128692191	3390741996
1128692191	1096822309
1129947733	1417794005
1153881481	327152466
1188169554	2687547120
1191538636	447559118
1232985576	5020147184
1271659455	45079155
1271659455	45079151
1271659455	330730722
1271659455	45079151
1273457205	2382233262
1312090503	241126944
1312090503	2007485130
1312090503	3952458178
1352657186	45025272
1352657186	1147908361
1352657186	3318199199
1358688540	1417689750
1382542134	2228910276
1390276253	3655489987
1396003175	1510419664
1412919966	1626762094
1438286796	3319168997
1438286796	1664786011
1439851899	2186594701
1442515617	1417689750
1465812674	1417794005
1465812674	1953731363
1465812674	1953731363
1530422108	722806422
1589091315	11995664
1589091315	908381913
1589091315	338446524
1589091315	878142
1591970353	1320732528
1599245607	2576619522
1662987648	1953731363
1662987648	1953731363
1662987648	1417794005
1714644532	277626180
1716822606	2991606245
1717042099	125755990
1721905244	5146781951
1752657021	1424816694
1752657021	1947609799
1752657021	1580955973
1752657021	433245581
1752657021	1947609799
1752657021	1861461293
1752657021	643659699
1752657021	1861461293
1752657021	1861461293
1752657021	668911267
1752657021	5055219122
1752657021	1861910938
1759853309	2182349234
1775338184	3279199819
1775338184	45025272
1775338184	1147908361
1775338184	3318199199
1775338184	44856979
1775338184	1480196366
1792610380	717641130
1792610380	1754075058
1792610380	44856981
1792610380	152311203
1792610380	15205146
1792610380	872893
1823375020	839633185
1823375020	1480196366
1823375020	2211906617
1823375020	382125821
1823375020	1754075058
1823375020	2513003819
1823375020	3746949509
1823375020	44856979
1823375020	3746949509
1823375020	1597616071
1823375020	44856979
1823375020	3159773355
1823375020	174292093
1823375020	1483591585
1856188354	2302252252
1873450689	277626180
1994957206	3979940276
1994964449	345148173
1994964449	581961115
2062097285	332439456
2085444067	3499811238
2097447457	3069742381
2097447457	113220754
2198366248	2457623240
2245492319	422533695
2245492319	3705174873
2287982615	3592592155
2329884868	184060290
2375280709	1093363527
2375280709	3562380158
2413929785	1643949370
2443015455	3390741996
2468670250	1339239727
2543940368	2805945968
2622800191	632882669
2626074372	245910657
2670414563	1276239177
2670909566	3443837177
2681524569	187335445
2703721135	3934156955
2708077817	10196858
2713273471	1966256065
2713273471	1188813899
2713273471	3501740590
2713273471	3977492771
2733405755	1417689750
2733405755	1417689750
2733405755	1417689750
2733405755	2292603986
2740297877	1435628891
2740297877	1803545302
2740297877	933233675
2740297877	2145802433
2740297877	933233675
2831782654	717641130
2831782654	872893
2831782654	1754075058
2831782654	44856981
2831782654	152311203
2844894680	5091720916
2844894680	979808720
2844894680	1851292059
2844894680	200158798
2862955510	2249208141
2884081458	781260359
2939057925	2537263374
2939057925	234871743
2940109765	531473118
2940109765	1972214090
